zda_id,name,lat,lon,town,type
44045,Hôtel de Ville d'Arcueil,48.80667978070474,2.3369295430933037,Arcueil,bus
53203,Olivier d'Ormesson,48.784068939108124,2.5374509910694205,Ormesson-sur-Marne,bus
50395,Hôpital Ambroise Paré,48.85055927961644,2.2371469741214023,Paris 16e,bus
45522,Mairie du 17e,48.88571887014389,2.31987242207384,Paris 17e,bus
42194,Wagram - Ampère,48.88516982542194,2.3041426700515784,Paris 17e,bus
46448,Plaisance,48.90578579907791,2.2524765159223645,La Garenne-Colombes,bus
483286,Orvilliers,48.769892654094484,2.396027948209482,Thiais,bus
58273,Professeur Cadiot,48.80616037817109,2.426012618969042,Maisons-Alfort,bus
44622,République - Blum,48.802616857157325,2.433567150132119,Maisons-Alfort,bus
50769,Maurice Gunsbourg,48.811237651264065,2.4031067851437973,Ivry-sur-Seine,bus
462451,Reims-Pitet,48.88883023540504,2.296470208305031,Paris 17e,bus
478736,Peri - Arnoux,48.81946716957187,2.3127010176829357,Montrouge,bus
42551,Charles de Gaulle-Étoile,48.874276362562846,2.2960259958390945,Paris 8e,bus
50715,Les Fleurs,48.80478771533863,2.179825905238377,Viroflay,bus
46089,Pont du Chemin de Fer,48.92186609952391,2.375050039018543,Aubervilliers,bus
58419,CRC,48.762217840954925,2.1694203299241295,Jouy-en-Josas,bus
53367,Centre Commercial Mozart,48.78388686197696,2.169647052277601,Vélizy-Villacoublay,bus
52896,Burospace,48.76762121002221,2.215650301595126,Bièvres,bus
54775,Square de Saint Germain,48.88320580387225,2.098680228946661,Marly-le-Roi,bus
43335,Guynemer - Place des Fusillés,48.79288142718942,2.366481052743169,Villejuif,bus
47797,Mairie,48.882330652064766,2.077067891569322,Mareil-Marly,bus
46606,Les Venets,48.889865872627716,2.2033756590788087,Nanterre,bus
54712,Croix Blanche,48.90456211434596,2.0415036561223587,Chambourcy,bus
50605,Route de Chatou,48.891260995261774,2.178259211880441,Nanterre,bus
46879,Corbellerie,48.874315815561864,2.1028971156566354,Le Port-Marly,bus
46622,Cité du Vieux Pont,48.890148031796656,2.1812090265196686,Nanterre,bus
54746,Bois Joly,48.87341174842523,2.1046714900839927,Le Port-Marly,bus
47795,Allée des Epines,48.871584920368484,2.099726607540265,Marly-le-Roi,bus
462769,Villeras - Emile Zola,48.75336756610382,2.177260223402646,Saclay,bus
53825,Paul Bert,48.89051055855152,2.153162594046936,Chatou,bus
52851,Bibliothèque,48.70317886188005,2.1775203300910224,Orsay,bus
483211,Château d'Eau,48.91020054144261,2.1600460814883777,Montesson,bus
473383,Isles - Armentières - Congis,48.99821308624587,3.0067920011886193,Isles-les-Meldeuses,bus
53795,Jean Macé,48.9118427715234,2.1531565964855783,Montesson,bus
52630,L'Hermitière,48.914808176289114,3.1918498286761436,Saint-Cyr-sur-Morin,bus
52635,ZI Sept-Sorts,48.94574464555979,3.1024598788864193,Sept-Sorts,bus
54634,Marronniers,48.93564592014194,2.125359154218212,Le Mesnil-le-Roi,bus
417535,Villaré,48.9567549587407,3.238923693993235,Citry,bus
54621,Les Trois Chênes,48.95397387873486,2.161892547181623,Maisons-Laffitte,bus
52500,Village de la Noue,48.949209910278704,3.1432486295830255,La Ferté-sous-Jouarre,bus
52432,Village,48.897908453353594,2.8305406426010165,Condé-Sainte-Libiaire,bus
53843,Sécurité Sociale,48.893807903881864,2.159083006365066,Chatou,bus
53293,Truffaut,48.85305411452862,2.846167871413334,Coutevroult,bus
488677,Émile Benoit,48.93255345886225,2.1894820295532478,Houilles,bus
417442,Stade,48.96384697546156,3.216831908641797,Saâcy-sur-Marne,bus
50146,Desjardins,48.93462520797836,2.187320348213356,Houilles,bus
52648,Salle des Fêtes,48.95483201032697,3.0706215882493275,Ussy-sur-Marne,bus
488661,Guimier,48.928187540970285,2.1769799278078454,Houilles,bus
52679,Rue du Tertre,48.84788896402362,2.9034556883808946,Voulangis,bus
56750,Douce Fève,48.96324274702997,2.228473756327992,Argenteuil,bus
56751,Robespierre,48.96058714525249,2.2280488323255314,Argenteuil,bus
420342,Rue des Prés,48.94158245551034,2.8045430721177533,Trilbardou,bus
50105,Petit Marly,48.937938780630596,2.245735108451896,Argenteuil,bus
57064,Rue de la Vallée,49.063375210951946,3.155194500111796,Germigny-sous-Coulombs,bus
57019,Aligre,48.89557216058903,2.111956028328686,Le Pecq,bus
52487,Route Nationale,49.03508830369986,2.9330847690335164,Étrépilly,bus
50109,Pyrénées,48.964851738780744,2.2367948399088564,Argenteuil,bus
50135,Paul Potdevin,48.93520155905984,2.2035140766882306,Bezons,bus
52457,Route de Melun,48.86221244585632,2.855995569875786,Coutevroult,bus
50152,La Paix - La Passerelle,48.927103692701756,2.172384026340524,Houilles,bus
52626,Résidence du Grand Morin,48.884136957099244,2.841262514958011,Saint-Germain-sur-Morin,bus
53750,Marine,48.92240770754422,2.1747650332099364,Houilles,bus
52439,Résidence des Pommiers,48.88782617165283,2.8572066186625116,Couilly-Pont-aux-Dames,bus
51637,Pierson,48.93827892591581,2.189024240876005,Sartrouville,bus
52498,Résidence des Moulins,48.94975001809374,3.135017186700302,La Ferté-sous-Jouarre,bus
52497,Résidence de la Plaine,48.960638644022396,3.1191633700689474,La Ferté-sous-Jouarre,bus
52545,Raspail,48.9248387529079,2.8633279645435366,Mareuil-lès-Meaux,bus
52217,Plateau Saint-Martin,49.04414116222005,2.0853667214440064,Pontoise,bus
52676,Pont de Serbonne,48.846340324299135,2.912833368978607,Voulangis,bus
52722,Pisseloup,49.00354859309121,3.200692345466526,Sainte-Aulde,bus
54524,Olympe de Gouges,48.94975504437156,2.0702594620698953,Achères,bus
52747,Pierre Marx,48.94953941833465,3.1217457042001313,La Ferté-sous-Jouarre,bus
54529,Quatorze Juillet,48.950288070163346,2.0682563969571848,Achères,bus
52603,Philo,48.89778551910109,2.8862999620530827,Quincy-Voisins,bus
52651,Pavillons,49.00612504548052,2.932151643760728,Varreddes,bus
54519,Mairie Annexe,48.95192380637432,2.0646631891730873,Achères,bus
52424,Parking Nord,48.87917837275548,2.7819376101406768,Coupvray,bus
52754,Nongloire,49.06072095077848,2.8925516081138336,Douy-la-Ramée,bus
51523,Compas,49.04076033198744,2.140179575691673,Saint-Ouen-l'Aumône,bus
52726,Mozart,48.92707062721007,2.864823308505961,Mareuil-lès-Meaux,bus
54521,Les Maraichers,48.964535551031815,2.0593691335133517,Achères,bus
412389,Morintru,48.95656613814682,3.108598670520549,La Ferté-sous-Jouarre,bus
463624,Ménilmontant - Nanettes,48.86461445647373,2.3852788250024606,Paris 11e,bus
479660,Montgrolle,48.85972273270219,2.943586788973781,Crécy-la-Chapelle,bus
47331,Sinoël,48.86824004020607,2.882711097865148,Crécy-la-Chapelle,bus
477678,Hôtel de Ville,48.85566733552329,2.3514616872780256,Paris 4e,bus
479647,Mauperthuis,48.87447246451229,2.971914927310754,Sancy,bus
478119,Mairie,48.95867198430489,2.9473030125905955,Trilport,bus
45366,Duranton,48.83808167461356,2.289171216716886,Paris 15e,bus
53299,Mairie,48.99306325519896,3.1721336559426314,Sainte-Aulde,bus
486638,Place Jules Ferry,48.81273464872723,2.3228397577688105,Montrouge,bus
52606,Mairie,48.95897496031796,3.1438490711850466,Reuil-en-Brie,bus
