ZdAId,ZdCId
58391,68278
413398,72359
45239,426135
59118,74195
42451,70031
463830,70648
47982,62608
413403,413404
42685,67873
46455,72342
50946,72321
473288,73278
51090,73039
43350,482368
59255,74303
478445,478446
51074,71986
50334,73094
427333,72118
491707,415663
50462,72228
462876,71612
51093,73077
51539,72057
43825,68826
491733,71828
44313,71453
46321,482854
44446,73207
46549,479918
473455,71545
473691,480726
463945,482804
53705,72247
427766,70721
473532,72323
44848,71600
473769,71403
52176,73746
58112,72337
51730,69422
45121,71218
45240,426134
55726,61695
57250,71645
53683,73127
50220,70048
51883,61738
42514,425008
478688,478689
488593,490529
488584,490530
46990,73731
463881,71893
473750,71201
44901,71961
53419,62524
47596,66915
55203,61693
52441,69378
462918,72292
494304,72292
47824,420151
473798,72881
46272,70631
45218,71621
44109,73053
463895,71606
44335,72916
43359,74030
51653,73040
50335,69998
51693,72900
50655,71531
50663,72157
50725,71551
50727,72080
50728,71433
50742,70758
50945,72318
478619,478620
59268,74316
47360,73873
47356,72338
59324,72085
47448,72048
46324,72203
46319,72248
46446,420661
46442,482783
46443,72100
45025,482730
58530,415680
473119,72179
413408,413409
463822,73635
58694,72319
57501,72172
45567,71495
45534,71556
45532,72059
45522,478620
425218,425219
425227,413396
45484,479932
463328,71426
490904,482854
44562,72276
42190,72246
42384,482794
473730,71330
53323,71392
462882,72307
42609,72139
473686,478883
51015,72255
51125,72150
51137,70953
53702,72268
51283,72114
50175,71530
470563,73630
470550,71474
470520,72128
50461,72215
50466,72297
50470,72106
50496,72194
494288,494289
46720,73723
47821,65974
480322,480517
491719,72323
44938,65911
42143,68527
44013,68488
55185,61593
478959,70100
50550,72488
47102,59948
486655,70362
488506,488507
56857,67381
57534,68605
55891,73747
58000,72953
52632,68882
49421,67960
49521,67733
50934,73275
47246,417815
47230,71702
50849,70557
50854,73211
50866,73125
50865,73230
491519,491567
58299,70338
58258,70424
45044,73202
58330,73198
58333,73210
58341,71742
58340,71676
58350,73131
58360,71926
45200,71721
46520,73312
473146,72037
45255,70552
45256,70561
45253,71559
58574,463564
57273,71698
57270,71790
58733,71673
463882,71298
57495,71907
45634,482731
45688,71214
45678,71298
45666,73632
45725,70470
45726,493232
45709,463703
415636,71787
44606,426383
57951,71905
43473,73047
43510,412695
55523,73124
43675,73164
42339,72437
42303,68193
43796,68201
53164,70440
53173,70148
53179,71658
42444,68484
53186,71798
43715,73228
53208,482873
53212,73081
473860,70359
473830,73166
43808,70463
53317,70212
53318,70214
42641,424956
42647,482351
462823,72479
42611,68399
51089,73034
51088,70377
51062,71417
51069,73185
51068,73168
473494,72028
51076,72008
51075,71976
473487,426280
42942,72454
479096,479097
51347,69772
50272,70277
50281,73204
50202,71881
50204,71952
50207,71818
51544,71584
50255,73078
50259,70422
50391,71797
50399,71674
50323,71671
50322,71858
50350,71749
50354,71713
50368,73160
50376,73265
50379,73286
50383,71839
50384,71845
50301,73226
51760,70678
51749,71583
46130,72596
473706,71045
470552,474150
470525,71294
494095,62907
411329,411330
411390,411391
56032,426785
473533,62172
462713,61712
42651,67423
473177,67604
481006,481096
45551,71473
411396,411397
42375,66044
58023,72951
59301,74348
411492,411493
45346,71150
473265,66095
480997,480998
50872,73035
50889,68081
50899,73231
47264,424837
58226,73118
58352,68093
57494,73110
43288,73092
42291,68148
42254,73101
52179,68111
52181,68174
52123,73176
479108,479109
51616,73030
51756,73161
481019,481093
481014,481098
59139,68714
50940,73394
47217,67700
47272,68033
50898,67921
47268,68097
46199,73436
46197,73438
46172,72656
58294,68003
46218,73446
58205,412437
46566,67838
46534,73283
57304,73384
57315,73355
57423,73298
44135,73448
44063,73338
57364,73391
57368,73306
57389,73284
56204,67729
56213,67711
56228,67699
44243,69106
56187,67846
56199,67836
56301,68644
56325,68692
56321,68348
56323,68343
56330,68428
56332,68647
56349,68416
56343,68596
56344,68391
56362,68411
56366,68365
57606,67775
57593,67862
57596,67826
56274,67818
56283,67819
56280,67904
56281,67910
56288,67842
463399,463400
426352,426353
56372,68662
56374,68538
44656,73367
42154,68407
427542,68356
415524,68565
55514,73371
43582,73378
43653,67913
42449,69066
43752,73372
42402,68830
43703,73346
55880,68531
461883,479832
461886,461887
473526,69065
54844,73267
53739,73415
493512,493516
493106,479922
56963,65498
58662,73950
49724,65859
483494,483555
426175,424879
49714,65748
54487,66018
47500,66044
424892,424931
54455,65502
58029,72956
46664,70671
58855,419793
46661,70671
419962,419963
51273,70464
47017,71087
45280,70675
45281,70663
44375,70656
51279,71065
427229,70703
427227,415679
55659,71050
54692,70680
51276,71127
44376,70644
477798,70681
54654,70689
54691,69502
54689,70688
50395,71186
57029,69514
56718,70981
51278,74019
47011,70736
54651,70679
51271,70484
42235,73720
48350,60505
57532,69382
52522,69265
52589,69334
52435,69192
47453,68953
50439,70173
46117,72516
54317,66938
53454,62433
493615,481091
44919,66109
42377,73775
463722,463723
58632,73373
53875,60225
48117,60217
427029,59778
45087,60424
48555,60233
51356,60349
53884,60129
53898,60041
59103,74182
53071,60673
53068,60968
48293,60047
53066,60909
47105,425924
44745,60296
425919,425920
427031,59763
53053,59794
52198,59415
53050,60738
53891,60074
59006,74109
53917,59783
53040,59853
53039,59750
48473,59701
53033,59617
48538,60570
51329,60195
462345,462346
49892,59841
53903,60289
53904,60289
48520,60533
43774,60251
53312,59973
480540,427821
53011,59708
53010,60862
53883,60184
52998,59721
52944,59792
48515,60314
53916,59821
473373,59678
473077,60915
52964,60752
52975,60653
52968,59406
419415,59675
53045,59647
51354,60395
42775,59404
411532,59970
52929,60684
58898,74046
59099,59797
411610,59945
53905,60312
486052,486140
59004,74108
427021,427022
42535,59667
52943,59639
42467,59866
43419,60540
58775,482703
47098,59919
52980,59876
53895,60236
53876,60163
42299,60764
52935,61050
42226,60224
42180,60672
52923,59744
51275,71921
493651,71967
56171,67602
58706,73989
56175,67611
56263,67605
56236,67657
42796,64487
48791,60145
47871,73776
52030,63865
51391,66799
492347,492348
54549,66166
47329,68311
473318,73709
462846,73360
473029,73312
478647,478648
479060,477285
47933,73411
47936,73709
411280,411281
47445,66042
54563,66262
54561,66203
54586,66403
46288,69750
58977,74091
51180,69849
51298,69812
51302,69838
493287,69849
43379,420299
43153,73626
484174,461959
58303,68167
419941,419942
50709,69517
49827,69261
49862,69374
56119,61255
58343,73490
48614,63894
54575,65928
463853,71139
462832,72322
493374,72327
416478,71811
492806,493021
420587,71342
426903,493510
43772,60131
463553,463554
463422,73633
473332,493509
47601,493501
53395,63561
56427,69628
56430,69655
56431,69644
56547,69678
56550,69683
46026,69679
46023,69702
59336,480755
47753,70286
47743,479935
47714,70234
57119,70012
52233,426182
50631,70294
491989,491990
478680,70100
47705,480877
486583,486688
45980,70054
45975,70062
43870,69992
53399,70528
47106,426985
48331,59541
49217,67663
43693,72240
48458,60994
422777,493453
46434,72092
484387,484414
51282,72130
48484,60681
473654,71169
493429,479274
462877,69925
473856,72929
47333,482718
473381,71274
43276,70725
492691,69172
46789,66144
54544,66263
54553,66173
54567,65970
54577,65921
54576,65929
473880,480549
47994,60932
47989,62688
48009,62679
47068,60924
48455,74376
48423,60876
48416,60917
48413,60922
55647,60865
54644,60962
49880,60418
492469,492470
43300,64550
44784,70874
43654,70828
483447,483416
461857,63841
46838,64201
46106,72538
53970,64761
42487,65944
473384,65668
57156,66128
492818,65140
46610,70899
58776,73971
46769,64738
44575,64231
43804,64393
52018,64457
49174,64228
424544,493045
49698,69429
493007,59885
49562,66577
43879,60525
52321,60213
43959,67582
56140,62490
55134,67589
56210,67628
44880,62603
42769,67528
473603,62471
42274,62307
43253,70785
488665,491119
473450,62804
45470,71146
46616,70940
473206,71355
45160,415726
44607,63922
48768,60770
49474,67622
52409,68333
49219,67720
